,song_names,sentences
Outlaw,Outlaw,a gun will decide where the outlaws ride
Outlaw,Outlaw,the law of the west was the law of the gun
Outlaw,Outlaw,shoot and be fast lives on the run
Outlaw,Outlaw,stay alive be fast on the draw
Outlaw,Outlaw,live by the gun or die by the law
Outlaw,Outlaw,outlaw outlaw outlaw ride
Outlaw,Outlaw,into the west a gun by your side
Outlaw,Outlaw,hell and glory honor and pride
Outlaw,Outlaw,a gun will decide where the outlaws ride
Outlaw,Outlaw,shot trough the heart in the blink of an eye
Outlaw,Outlaw,buried up on boot hill
Outlaw,Outlaw,life is cheap when the bounty is high
Outlaw,Outlaw,so be ready to kill
Outlaw,Outlaw,the law of the west was the law of the gun
Outlaw,Outlaw,shoot and be fast lives on the run
Outlaw,Outlaw,stay alive be fast on the draw
Outlaw,Outlaw,live by the gun or die by the law
Outlaw,Outlaw,shot of whisky ill be on my way
Outlaw,Outlaw,back in the saddle pull on the reins
Outlaw,Outlaw,spurs to the beast over the hill
Outlaw,Outlaw,another town one more kill
Outlaw,Outlaw,outlaw outlaw outlaw ride
Outlaw,Outlaw,into the west a gun by your side
Outlaw,Outlaw,hell and glory honor and pride
Outlaw,Outlaw,a gun will decide where the outlaws ride
Hangar 18,Hangar 18,welcome to our fortress tall
Hangar 18,Hangar 18,take some time to show you around
Hangar 18,Hangar 18,impossible to break these walls
Hangar 18,Hangar 18,for you see the steel is much too strong
Hangar 18,Hangar 18,computer banks to rule the world
Hangar 18,Hangar 18,instruments to sight the stars
Hangar 18,Hangar 18,possibly ive seen to much
Hangar 18,Hangar 18,hangar 18 i know too much
Hangar 18,Hangar 18,foreign life forms inventory
Hangar 18,Hangar 18,suspended state of cryogenics
Hangar 18,Hangar 18,selective amnesias the story
Hangar 18,Hangar 18,believed foretold but whod suspect
Hangar 18,Hangar 18,the military intelligence
Hangar 18,Hangar 18,two words combined that cant make sense
Hangar 18,Hangar 18,possibly ive seen to much
Hangar 18,Hangar 18,hangar 18 i know too much
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",strike while the iron is hot
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",steel is strongest so say we all
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",and if we all were not brothers of metal would we fall no
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",they tried to test our spirit
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",they tasted steel before we were done
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",grinding their bones into the dust of the past
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",all blown away like a shot from a gun
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",we cast our lot together four still stand as one
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",here well remain forever till our kindgdoms one
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",brothers of metal
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",we are fighting with power and steel
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",fighting for metal thats all thats real
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",brothers of metal will always be there
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",standing together with hands in the air
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",let us drink to the power drink to the sound
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",thunder and metal are shaking the ground
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",drink to your brothers who are never to fall
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",were all brothers of metal here in the hall
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",our hearts are filled with metal and masters we have none
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",and we will die for metal metal heals my son
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",brothers of metal
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",we are fighting with power and steel
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",fighting for metal thats all thats real
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",brothers of metal will always be there
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",standing together with hands in the air
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",let us drink to the power drink to the sound
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",thunder and metal are shaking the ground
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",drink to your brothers who are never to fall
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",were all brothers of metal here in the hall
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",brothers of metal
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",we are fighting with power and steel
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",fighting for metal thats all thats real
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",brothers of metal will always be there
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",standing together with hands in the air
"Brothers of Metal, Pt. 1","Brothers of Metal, Pt. 1",
Easy Livin',Easy Livin',this is a thing ive never known before 
Easy Livin',Easy Livin',its called easy livin 
Easy Livin',Easy Livin',this is a place ive never seen before 
Easy Livin',Easy Livin',and ive been forgiven 
Easy Livin',Easy Livin',easy livin and ive been forgiven 
Easy Livin',Easy Livin',since youve taken your place in my heart 
Easy Livin',Easy Livin',somewhere along the lonely road i had tried to find ya 
Easy Livin',Easy Livin',day after day on that windy road i had walked behind ya 
Easy Livin',Easy Livin',easy livin and ive been forgiven 
Easy Livin',Easy Livin',since youve taken your place in my heart 
Easy Livin',Easy Livin',waiting watching 
Easy Livin',Easy Livin',wishing my whole life away 
Easy Livin',Easy Livin',dreaming thinking 
Easy Livin',Easy Livin',ready for my happy day 
Easy Livin',Easy Livin',and some easy livin 
Easy Livin',Easy Livin',somewhere along the lonely road i had tried to find you 
Easy Livin',Easy Livin',day after day on that windy road i had walked walked behind you 
Easy Livin',Easy Livin',easy livin and ive been forgiven 
Easy Livin',Easy Livin',since youve taken your place in my heart 
Easy Livin',Easy Livin',easy livin and ive been forgiven 
Easy Livin',Easy Livin',since youve taken your place in my heart
Carry On,Carry On,the north star always guides me
Carry On,Carry On,when winter skies are gray
Carry On,Carry On,and i wait for sun when all are one
Carry On,Carry On,i shall not betray
Carry On,Carry On,calling at me
Carry On,Carry On,im waiting when all are led astray
Carry On,Carry On,carry on my sons forever
Carry On,Carry On,carry on when i am gone
Carry On,Carry On,carry on when the day is long
Carry On,Carry On,forever carry on
Carry On,Carry On,for as long as were together
Carry On,Carry On,then forever carry on
Carry On,Carry On,darkness all around us
Carry On,Carry On,we dont close our eyes
Carry On,Carry On,no ones gonna ground us
Carry On,Carry On,we were burn to fly
Carry On,Carry On,cominat us no stopping
Carry On,Carry On,born to amplify
Carry On,Carry On,carry on my sons forever
Carry On,Carry On,carry on when i am gone
Carry On,Carry On,carry on when the day is long
Carry On,Carry On,forever carry on
Carry On,Carry On,for as long as were together
Carry On,Carry On,then forever carry on
Carry On,Carry On,yeabe my brother
Carry On,Carry On,fight to stay alive
Carry On,Carry On,all the world cant change us
Carry On,Carry On,with all their burned out jive
Carry On,Carry On,come get us now were waiting
Carry On,Carry On,we wont run and hide
Carry On,Carry On,carry on my sons forever
Carry On,Carry On,carry on when i am gone
Carry On,Carry On,carry on when the day is long
Carry On,Carry On,forever carry on
Carry On,Carry On,for as long as were together
Carry On,Carry On,then forever carry on
Carry On,Carry On,now were all together
Carry On,Carry On,lets sing a fighting song
Carry On,Carry On,one hundred thousand riders
Carry On,Carry On,we cant all be wrong
Carry On,Carry On,cominat us no stopping
Carry On,Carry On,always carry on
Carry On,Carry On,carry on my sons forever
Carry On,Carry On,carry on when i am gone
Carry On,Carry On,carry on when the day is long
Carry On,Carry On,forever carry on
Carry On,Carry On,for as long as were together
Carry On,Carry On,then forever carry on
Death Tone,Death Tone,original lyrics 
Death Tone,Death Tone,ridin on two wheels 
Death Tone,Death Tone,chains hooked on my heels 
Death Tone,Death Tone,sittin on leather 
Death Tone,Death Tone,ridin on steel 
Death Tone,Death Tone,put my shades on 
Death Tone,Death Tone,hair blows in the wind 
Death Tone,Death Tone,i give some square the finger 
Death Tone,Death Tone,now he wont look again no he wont 
Death Tone,Death Tone,now you were sittin home 
Death Tone,Death Tone,and i got sent to nam 
Death Tone,Death Tone,i went to the big house 
Death Tone,Death Tone,you just worked at job 
Death Tone,Death Tone,hear me calling cant you hear my death tone 
Death Tone,Death Tone,hear me calling cant you hear my death tone 
Death Tone,Death Tone,hear me ride on into the night pull along side 
Death Tone,Death Tone,if youre looking for a fight 
Death Tone,Death Tone,my social workers got me on a chain 
Death Tone,Death Tone,keeps me out of jail so the paper prints his name 
Death Tone,Death Tone,yes it does and he likes it 
Death Tone,Death Tone,unemployment checks run out next week 
Death Tone,Death Tone,it wont be very long til im back on the streets again
Metal Daze,Metal Daze,i hear the sound in a metal way
Metal Daze,Metal Daze,i feel the power rolling on the stage
Metal Daze,Metal Daze,cause only one thing really sets me free
Metal Daze,Metal Daze,heavy metal loud as it can be
Metal Daze,Metal Daze,baby i was born to play music
Metal Daze,Metal Daze,i am a man with a screaming guitar
Metal Daze,Metal Daze,theres a light in a middle of the stage
Metal Daze,Metal Daze,and in a minute ill be wearing it all
Metal Daze,Metal Daze,i dont know another way of living
Metal Daze,Metal Daze,man i couldnt really care
Metal Daze,Metal Daze,give me a pair of jeans and a riff thats mean
Metal Daze,Metal Daze,and girls that love to share
Metal Daze,Metal Daze,heavy metal metal daze
Metal Daze,Metal Daze,heavy metal heavy metal daze
Metal Daze,Metal Daze,heavy metal heavy metal daze
Metal Daze,Metal Daze,living like theres no tomorrow
Metal Daze,Metal Daze,yeah currie says were on the edge
Metal Daze,Metal Daze,he said man youre really graffic
Metal Daze,Metal Daze,this bands a social wedge
Metal Daze,Metal Daze,yeah we all got hearts made of metal
Metal Daze,Metal Daze,and our blood is hot molten rock
Metal Daze,Metal Daze,and if i dont hear the sound of metal
Metal Daze,Metal Daze,i go into shock
Metal Daze,Metal Daze,so mister d j play just one for me
Metal Daze,Metal Daze,you know the one with the crashin and the screams
Metal Daze,Metal Daze,cause only one thing really sets me free
Metal Daze,Metal Daze,heavy metal loud as it can be
Fast Taker,Fast Taker,mama is having problems
Fast Taker,Fast Taker,always comes to me
Fast Taker,Fast Taker,your daddys been a drinker since 1943
Fast Taker,Fast Taker,they tell you im a loser
Fast Taker,Fast Taker,cause i like bein free
Fast Taker,Fast Taker,but truth is in the mirror
Fast Taker,Fast Taker,its what they never see
Fast Taker,Fast Taker,i sing yeah
Fast Taker,Fast Taker,long time ago
Fast Taker,Fast Taker,you tried to tell me son
Fast Taker,Fast Taker,keep our daughter home
Fast Taker,Fast Taker,i said no no no no
Fast Taker,Fast Taker,now i dont mind them saying 
Fast Taker,Fast Taker,that you should be praying
Fast Taker,Fast Taker,for me fast taker
Fast Taker,Fast Taker,right heres where im staying 
Fast Taker,Fast Taker,lifes a game i play
Fast Taker,Fast Taker,for keeps fast taker bed breaker love maker
Fast Taker,Fast Taker,take it away
Fast Taker,Fast Taker,only sixteen 
Fast Taker,Fast Taker,a woman not a girl
Fast Taker,Fast Taker,old enough 
Fast Taker,Fast Taker,for a trip around the world
Fast Taker,Fast Taker,pick you up on friday 
Fast Taker,Fast Taker,when daddy goes to sleep
Fast Taker,Fast Taker,bring you back on sunday 
Fast Taker,Fast Taker,when hes watching billy graham on tv
Fast Taker,Fast Taker,oh yeah he wont see me
Fast Taker,Fast Taker,now do it right with music
Fast Taker,Fast Taker,then you learn how to use it
Fast Taker,Fast Taker,all night fast taker
Fast Taker,Fast Taker,right heres where im staying
Fast Taker,Fast Taker,lifes a game i play
Fast Taker,Fast Taker,for keeps fast taker bed breaker love maker
Fast Taker,Fast Taker,take it away
Shell Shock,Shell Shock,i dont know
Shell Shock,Shell Shock,well theres no charge for the haircut
Shell Shock,Shell Shock,and the bullets come free
Shell Shock,Shell Shock,my uncle sam sent a letter said
Shell Shock,Shell Shock,hes got a mission for me
Shell Shock,Shell Shock,now im a ranger not a stranger
Shell Shock,Shell Shock,and i live in saigon
Shell Shock,Shell Shock,weve got a team of special forces
Shell Shock,Shell Shock,and we deliver napalm
Shell Shock,Shell Shock,but if they tell you that ive lost my mind
Shell Shock,Shell Shock,maybe its not gone just a little hard to find
Shell Shock,Shell Shock,about the time this letter gets home
Shell Shock,Shell Shock,ill be gone gone yeah gone
Shell Shock,Shell Shock,and if they tell you that im mia
Shell Shock,Shell Shock,think a little less about me each day
Shell Shock,Shell Shock,cause if i ever get back
Shell Shock,Shell Shock,ill be shell shocked
Shell Shock,Shell Shock,feels funny riding in my car
Shell Shock,Shell Shock,used to drive a tank and shoot a bar
Shell Shock,Shell Shock,i know im home
Shell Shock,Shell Shock,but i feel gonegone yeah gone
Shell Shock,Shell Shock,now its over and the homelands safe
Shell Shock,Shell Shock,got a purple heart to show the world im brave
Shell Shock,Shell Shock,the businessmen sat home
Shell Shock,Shell Shock,well i got shell shocked
Manowar,Manowar,we met on english ground 
Manowar,Manowar,in a backstage room
Manowar,Manowar,we heard the sound
Manowar,Manowar,and we all knew what we had to do
Manowar,Manowar,we called the high command
Manowar,Manowar,requested leave to make a stand
Manowar,Manowar,and in the field we grew
Manowar,Manowar,and we all knew
Manowar,Manowar,soon the time would come
Manowar,Manowar,for us to fight
Manowar,Manowar,destination 
Manowar,Manowar,now in sight
Manowar,Manowar,oooh manowar
Manowar,Manowar,born to live forever more
Manowar,Manowar,the right to conquer every shore
Manowar,Manowar,hold your ground and give no more
Manowar,Manowar,our fight will never end
Manowar,Manowar,so we called on partisans
Manowar,Manowar,to raise your hands
Manowar,Manowar,and take our stand
Manowar,Manowar,look sharp 
Manowar,Manowar,when duty calls
Manowar,Manowar,where we march 
Manowar,Manowar,cities fall
Manowar,Manowar,and the strong survive
Manowar,Manowar,and take our side
Dark Avenger,Dark Avenger,he broke the laws of the elders
Dark Avenger,Dark Avenger,so they plucked out his eye
Dark Avenger,Dark Avenger,took his land and fortune
Dark Avenger,Dark Avenger,left him to die
Dark Avenger,Dark Avenger,bound on the shoreline
Dark Avenger,Dark Avenger,left for the tide
Dark Avenger,Dark Avenger,sees his life blood leaving
Dark Avenger,Dark Avenger,circling lower the vultures fly
Dark Avenger,Dark Avenger,these bones may be broken
Dark Avenger,Dark Avenger,but the spirit cant die
Dark Avenger,Dark Avenger,and the gods see his anguish
Dark Avenger,Dark Avenger,and give him a sign
Dark Avenger,Dark Avenger,from the floor of the ocean
Dark Avenger,Dark Avenger,the ship of the lost souls rise
Dark Avenger,Dark Avenger,and they take him where no one sleeps
Dark Avenger,Dark Avenger,while the undead cry
Dark Avenger,Dark Avenger,where no one sleeps while the undead cry
Dark Avenger,Dark Avenger,and in the world above
Dark Avenger,Dark Avenger,the elders sing
Dark Avenger,Dark Avenger,on his land they live
Dark Avenger,Dark Avenger,let deaths bell ring
Dark Avenger,Dark Avenger,he was met at the gate of hades
Dark Avenger,Dark Avenger,by the guardian of the lost souls
Dark Avenger,Dark Avenger,the keeper of the unavenged
Dark Avenger,Dark Avenger,and he did say to him
Dark Avenger,Dark Avenger,let you not pass abandon return to the world from once you came
Dark Avenger,Dark Avenger,and seek payment not only for thy known anguish
Dark Avenger,Dark Avenger,but vindicate the souls of the unavenged
Dark Avenger,Dark Avenger,and they placed in his hands a sword made for him called vengeance
Dark Avenger,Dark Avenger,forged in brimstone and tempered by the woeful tears of the unavenged
Dark Avenger,Dark Avenger,and to carry him up on his journey back to the upper world
Dark Avenger,Dark Avenger,they brought forth their demon horse called black death
Dark Avenger,Dark Avenger,a grim steed so fiercely might and black in colour
Dark Avenger,Dark Avenger,that he could stand as one with the darkness
Dark Avenger,Dark Avenger,save from his burning eyes of crimson fire
Dark Avenger,Dark Avenger,and on that night they rode up from hell
Dark Avenger,Dark Avenger,the pounding of his hooves did clap like thunder
Dark Avenger,Dark Avenger,burning death destruction raping the daughters and wives
Dark Avenger,Dark Avenger,in blood i take my payment in full with their lives
Dark Avenger,Dark Avenger,no one can escape me on black death i ride
Dark Avenger,Dark Avenger,when kissed by the sword of vengeance
Dark Avenger,Dark Avenger,your head lays there by your side
Dark Avenger,Dark Avenger,i take the lives of all that i once knew
Dark Avenger,Dark Avenger,the torn flesh of a slow death waits for you
Dark Avenger,Dark Avenger,burning death destruction raping the daughters and wives
Dark Avenger,Dark Avenger,in blood i take my payment in full with their lives
Dark Avenger,Dark Avenger,i spare not land or servants my wake is slow dead there
Dark Avenger,Dark Avenger,i take their wives and daughters
Dark Avenger,Dark Avenger,they stand there watching watching
Dark Avenger,Dark Avenger,hoping to get my life but when im through they know they must pay
Fast Taker [Live][*],Fast Taker [Live][*],mama is having problems
Fast Taker [Live][*],Fast Taker [Live][*],always comes to me
Fast Taker [Live][*],Fast Taker [Live][*],your daddys been a drinker since 1943
Fast Taker [Live][*],Fast Taker [Live][*],they tell you im a loser
Fast Taker [Live][*],Fast Taker [Live][*],cause i like bein free
Fast Taker [Live][*],Fast Taker [Live][*],but truth is in the mirror
Fast Taker [Live][*],Fast Taker [Live][*],its what they never see
Fast Taker [Live][*],Fast Taker [Live][*],i sing yeah
Fast Taker [Live][*],Fast Taker [Live][*],long time ago
Fast Taker [Live][*],Fast Taker [Live][*],you tried to tell me son
Fast Taker [Live][*],Fast Taker [Live][*],keep our daughter home
Fast Taker [Live][*],Fast Taker [Live][*],i said no no no no
Fast Taker [Live][*],Fast Taker [Live][*],now i dont mind them saying 
Fast Taker [Live][*],Fast Taker [Live][*],that you should be praying
Fast Taker [Live][*],Fast Taker [Live][*],for me fast taker
Fast Taker [Live][*],Fast Taker [Live][*],right heres where im staying 
Fast Taker [Live][*],Fast Taker [Live][*],lifes a game i play
Fast Taker [Live][*],Fast Taker [Live][*],for keeps fast taker bed breaker love maker
Fast Taker [Live][*],Fast Taker [Live][*],take it away
Fast Taker [Live][*],Fast Taker [Live][*],only sixteen 
Fast Taker [Live][*],Fast Taker [Live][*],a woman not a girl
Fast Taker [Live][*],Fast Taker [Live][*],old enough 
Fast Taker [Live][*],Fast Taker [Live][*],for a trip around the world
Fast Taker [Live][*],Fast Taker [Live][*],pick you up on friday 
Fast Taker [Live][*],Fast Taker [Live][*],when daddy goes to sleep
Fast Taker [Live][*],Fast Taker [Live][*],bring you back on sunday 
Fast Taker [Live][*],Fast Taker [Live][*],when hes watching billy graham on tv
Fast Taker [Live][*],Fast Taker [Live][*],oh yeah he wont see me
Fast Taker [Live][*],Fast Taker [Live][*],now do it right with music
Fast Taker [Live][*],Fast Taker [Live][*],then you learn how to use it
Fast Taker [Live][*],Fast Taker [Live][*],all night fast taker
Fast Taker [Live][*],Fast Taker [Live][*],right heres where im staying
Fast Taker [Live][*],Fast Taker [Live][*],lifes a game i play
Fast Taker [Live][*],Fast Taker [Live][*],for keeps fast taker bed breaker love maker
Fast Taker [Live][*],Fast Taker [Live][*],take it away
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],hands of doom are reaching out to crush all infidels who stray
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],time to know the pain but no time to run within
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],and these hands you see before you will end the light of day
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],your ashes will be cast into the wind
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],your bloods upon the soil your body fed to wolves
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],not one of you will be left alive
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],hear the sound pounding and the army of the night
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],by the hammer of thor you now shall die
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],tonight we strike there is thunder in the sky
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],together well fight some of us will die
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],well always remember that we made a stand
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],and many will die by my hand
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],we are high atop a mountain with hammers in the wind
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],lusting for blood and death again
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],in a flash of lightning strike
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],now the house of death invites you body and soul to come within
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],i see the fear you have inside you can run but never hide
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],i will hunt you down and tear you limb from limb
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],nothing shall remain not your memory your name
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],it will be as though you never ever lived
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],tonight we strike there is thunder in the sky
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],together well fight some of us will die
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],well always remember that we made a stand
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],many will die by my hand
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],they will die
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],high atop a mountain with hammers in the wind
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],lusting for blood and death again
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],in a flash of lightning strike
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],now the house of death invites you body and soul to come within
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],i see the fear you have inside you can run but never hide
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],i will hunt you down and tear you limb from limb
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],nothing shall remain not your memory your name
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],it will be as though you never ever lived
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],tonight we strike there is thunder in the sky
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],together well fight some of us will die
Hand of Doom [Norway 2009],Hand of Doom [Norway 2009],but well always remember that we made a stand
