,song_names,sentences
Any Means Necessary,Any Means Necessary,i wont pull the trigger just to see you die
Any Means Necessary,Any Means Necessary,no remedy to make me come alive
Any Means Necessary,Any Means Necessary,im ticking like a time bomb no fuse just guts and gore
Any Means Necessary,Any Means Necessary,initiate the burning of the core
Any Means Necessary,Any Means Necessary,i count down to zero pull the trigger no parole
Any Means Necessary,Any Means Necessary,no mercy no mercy on your soul
Any Means Necessary,Any Means Necessary,kill by any means necessary
Any Means Necessary,Any Means Necessary,win by any means necessary
Any Means Necessary,Any Means Necessary,live by any means necessary
Any Means Necessary,Any Means Necessary,die by any means necessary
Any Means Necessary,Any Means Necessary,i am not judgmental
Any Means Necessary,Any Means Necessary,a sinner nor a saint
Any Means Necessary,Any Means Necessary,cause either youre my best friend or you aint
Any Means Necessary,Any Means Necessary,come gather here around me
Any Means Necessary,Any Means Necessary,feel my breath under your skin
Any Means Necessary,Any Means Necessary,im deadly only when im getting caught
Any Means Necessary,Any Means Necessary,i count down to zero im a soldier without soul
Any Means Necessary,Any Means Necessary,no mercy no mercy on your soul
Any Means Necessary,Any Means Necessary,kill by any means necessary
Any Means Necessary,Any Means Necessary,win by any means necessary
Any Means Necessary,Any Means Necessary,live by any means necessary
Any Means Necessary,Any Means Necessary,die by any means necessary
Any Means Necessary,Any Means Necessary,i am born to kill judge and condemn
Any Means Necessary,Any Means Necessary,i am born to win slay and maim em
Any Means Necessary,Any Means Necessary,i am born to live fight for glory
Any Means Necessary,Any Means Necessary,i am born to die
Any Means Necessary,Any Means Necessary,kill
Any Means Necessary,Any Means Necessary,win
Any Means Necessary,Any Means Necessary,live
Any Means Necessary,Any Means Necessary,die
Any Means Necessary,Any Means Necessary,kill by any means necessary
Any Means Necessary,Any Means Necessary,win by any means necessary
Any Means Necessary,Any Means Necessary,live by any means necessary
Any Means Necessary,Any Means Necessary,die by any means necessary
Any Means Necessary,Any Means Necessary,i am born to kill judge and condemn
Any Means Necessary,Any Means Necessary,i am born to win slay and maim em
Any Means Necessary,Any Means Necessary,i am born to live fight for glory
Any Means Necessary,Any Means Necessary,i am born to die memento mori
Any Means Necessary,Any Means Necessary,i am born to kill judge and condemn
Any Means Necessary,Any Means Necessary,i am born to win slay and maim em
Any Means Necessary,Any Means Necessary,i am born to live fight for glory
Any Means Necessary,Any Means Necessary,i am born to die memento mori
Riders of the Storm,Riders of the Storm,sight a brand new horizon
Riders of the Storm,Riders of the Storm,ascending from the hearts of those who couldnt see
Riders of the Storm,Riders of the Storm,the decline of man the final stage of war
Riders of the Storm,Riders of the Storm,spectral forces of mankind
Riders of the Storm,Riders of the Storm,were all trapped inside the core of the machine
Riders of the Storm,Riders of the Storm,our time has come to find a way back home
Riders of the Storm,Riders of the Storm,we seek our destiny in thee
Riders of the Storm,Riders of the Storm,in the eye of the storm
Riders of the Storm,Riders of the Storm,a genesis is born reborn
Riders of the Storm,Riders of the Storm,riders of the storm   one with the wind defenders of
Riders of the Storm,Riders of the Storm,creation
Riders of the Storm,Riders of the Storm,riders of the storm   aligned with the sun
Riders of the Storm,Riders of the Storm,phantom powers rule the earth
Riders of the Storm,Riders of the Storm,descending down controlling you and me
Riders of the Storm,Riders of the Storm,what is left to see is it all but a dream
Riders of the Storm,Riders of the Storm,on the inside looking out
Riders of the Storm,Riders of the Storm,kept within a cage behind a false facade
Riders of the Storm,Riders of the Storm,they cant keep us down cause our strength is our will
Riders of the Storm,Riders of the Storm,we dream of a genesis reborn
Riders of the Storm,Riders of the Storm,where our spirits fly free
Riders of the Storm,Riders of the Storm,let us choose our own destiny
Riders of the Storm,Riders of the Storm,riders of the storm   one with the wind defenders of
Riders of the Storm,Riders of the Storm,creation
Riders of the Storm,Riders of the Storm,riders of the storm   aligned with the sun
Riders of the Storm,Riders of the Storm,speak the word of nemesis
Riders of the Storm,Riders of the Storm,call for thunder call for rain
Riders of the Storm,Riders of the Storm,let us meet our genesis
Riders of the Storm,Riders of the Storm,save us from the unholy pain
Riders of the Storm,Riders of the Storm,riders of the storm   one with the wind defenders of
Riders of the Storm,Riders of the Storm,creation
Riders of the Storm,Riders of the Storm,riders of the storm   aligned with the sun
Crimson Thunder,Crimson Thunder,we are the voices in the dark
Crimson Thunder,Crimson Thunder,inside the fire we are the
Crimson Thunder,Crimson Thunder,eternal spark that will guide the way
Crimson Thunder,Crimson Thunder,we are the stars up in sky
Crimson Thunder,Crimson Thunder,we gather winds so you can fly
Crimson Thunder,Crimson Thunder,we are the light when youre sleeping
Crimson Thunder,Crimson Thunder,all your dreams can come true
Crimson Thunder,Crimson Thunder,where do we go
Crimson Thunder,Crimson Thunder,were just a heartbeat away
Crimson Thunder,Crimson Thunder,follow the signs of the crimson thunder
Crimson Thunder,Crimson Thunder,we will stay by your side
Crimson Thunder,Crimson Thunder,let our voices be there to guide you
Crimson Thunder,Crimson Thunder,we are forces in the rain
Crimson Thunder,Crimson Thunder,inside your heart we are the
Crimson Thunder,Crimson Thunder,unending answer to all your fears
Crimson Thunder,Crimson Thunder,so take a step towards the light
Crimson Thunder,Crimson Thunder,the crimson sky fulfills the night
Crimson Thunder,Crimson Thunder,the revelation is near
Crimson Thunder,Crimson Thunder,all your dreams can come true
Crimson Thunder,Crimson Thunder,where do we go
Crimson Thunder,Crimson Thunder,were just a heartbeat away
Crimson Thunder,Crimson Thunder,follow the signs of the crimson thunder
Crimson Thunder,Crimson Thunder,we will stay by your side
Crimson Thunder,Crimson Thunder,let our voices be there to guide you
Crimson Thunder,Crimson Thunder,all your dreams can come true
Crimson Thunder,Crimson Thunder,follow the signs of the crimson thunder
Renegade,Renegade,see the outlaw stands alone beneath the burning sun
Renegade,Renegade,the raging badlands now is his home
Renegade,Renegade,theres no sign of victory he lost his liberty
Renegade,Renegade,and the only woman that he loved
Renegade,Renegade,an outlaw chasing outlaws a runner in the night
Renegade,Renegade,by the radiant moon he will strike
Renegade,Renegade,the seeker of all dangers has come to take his toll
Renegade,Renegade,from the dead of night he will arise
Renegade,Renegade,renegade renegade
Renegade,Renegade,committed the ultimate sin
Renegade,Renegade,renegade renegade
Renegade,Renegade,this time the prowler will win
Renegade,Renegade,he stalks in shadow lands soundless with gun in hand
Renegade,Renegade,striking like a reptile so fierce
Renegade,Renegade,no chance to get away no time for your last prayer
Renegade,Renegade,when the prowler sneaks up from behind
Renegade,Renegade,an outlaw chasing outlaws the hunter takes his pray
Renegade,Renegade,the law of the jungle he obeys
Renegade,Renegade,craving for the danger to even out the scores
Renegade,Renegade,face to face once and for all
Renegade,Renegade,renegade renegade
Renegade,Renegade,committed the ultimate sin
Renegade,Renegade,renegade renegade
Renegade,Renegade,this time the prowler will win
Renegade,Renegade,on through the night he rides on his raging horse made of steel
Renegade,Renegade,nothing can save you now before the renegade you will kneel
Renegade,Renegade,renegade renegade
Renegade,Renegade,committed the ultimate sin
Renegade,Renegade,renegade renegade
Renegade,Renegade,this time the prowler will win
Renegade,Renegade,renegade renegade
Renegade,Renegade,committed the ultimate sin
Renegade,Renegade,renegade renegade
Renegade,Renegade,this time the prowler will win
Blood Bound,Blood Bound,countdown descending down to zero
Blood Bound,Blood Bound,bursting into flames
Blood Bound,Blood Bound,cant you see the coming of a hero
Blood Bound,Blood Bound,on this enchanting day
Blood Bound,Blood Bound,so stand up and be counted
Blood Bound,Blood Bound,in the solar glance in the desert sand
Blood Bound,Blood Bound,no longer the hunted
Blood Bound,Blood Bound,united we are till the day we fall
Blood Bound,Blood Bound,a chain unbreakable
Blood Bound,Blood Bound,every link is allied to our mighty vow
Blood Bound,Blood Bound,were blood bound we aim for the sun
Blood Bound,Blood Bound,the luminous moon will take us high over ground
Blood Bound,Blood Bound,were blood bound collecting the stars
Blood Bound,Blood Bound,we hold a power that is greater than all
Blood Bound,Blood Bound,were blood bound
Blood Bound,Blood Bound,watch out the heathens all around us
Blood Bound,Blood Bound,always watch your back
Blood Bound,Blood Bound,weve got a lust for freedom
Blood Bound,Blood Bound,whatever they say we know well stay
Blood Bound,Blood Bound,we are indestructible
Blood Bound,Blood Bound,and no matter what happens we will rise above
Blood Bound,Blood Bound,were blood bound we aim for the sun
Blood Bound,Blood Bound,the luminous moon will take us high over ground
Blood Bound,Blood Bound,were blood bound collecting the stars
Blood Bound,Blood Bound,we hold a power that is greater than all
Blood Bound,Blood Bound,were blood bound
Blood Bound,Blood Bound,look into my eyes
Blood Bound,Blood Bound,tell me what is hidden deep inside
Blood Bound,Blood Bound,chains about to break
Blood Bound,Blood Bound,its the everlasting freedom for us all
Blood Bound,Blood Bound,were blood bound we aim for the sun
Blood Bound,Blood Bound,the luminous moon will take us high over ground
Blood Bound,Blood Bound,were blood bound collecting the stars
Blood Bound,Blood Bound,we hold a power together
Blood Bound,Blood Bound,were blood bound we aim for the sun
Blood Bound,Blood Bound,the luminous moon will take us high over ground
Blood Bound,Blood Bound,were blood bound collecting the stars
Blood Bound,Blood Bound,we hold a power to kill
Blood Bound,Blood Bound,were blood bound we aim for the sun
Blood Bound,Blood Bound,the luminous moon will take us high over ground
Blood Bound,Blood Bound,were blood bound collecting the stars
Blood Bound,Blood Bound,we hold a power to kill blood bound
Blood Bound,Blood Bound,power forever blood bound
Blood Bound,Blood Bound,power were blood bound
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who lost control
Last Man Standing,Last Man Standing,control but in the end id be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who sold his soul
Last Man Standing,Last Man Standing,his soul forever gone to be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,glorious
Last Man Standing,Last Man Standing,noble in my mind
Last Man Standing,Last Man Standing,everything a fight to win
Last Man Standing,Last Man Standing,taking all and giving
Last Man Standing,Last Man Standing,whatever my pride would let me
Last Man Standing,Last Man Standing,not backing down not giving in
Last Man Standing,Last Man Standing,i wouldnt lose i couldnt
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who lost control
Last Man Standing,Last Man Standing,control but in the end id be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who sold his soul
Last Man Standing,Last Man Standing,his soul forever gone to be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,i walk alone
Last Man Standing,Last Man Standing,with my head held high
Last Man Standing,Last Man Standing,never felt that i belonged
Last Man Standing,Last Man Standing,stand my ground at all costs
Last Man Standing,Last Man Standing,running through life with blindfolds
Last Man Standing,Last Man Standing,just for the right   right to be wrong
Last Man Standing,Last Man Standing,nothing would rule my world but 
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who lost control
Last Man Standing,Last Man Standing,control but in the end id be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who sold his soul
Last Man Standing,Last Man Standing,his soul forever gone to be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,nothing would rule my world but 
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who lost control
Last Man Standing,Last Man Standing,control but in the end id be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who sold his soul
Last Man Standing,Last Man Standing,his soul forever gone to be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who lost control
Last Man Standing,Last Man Standing,control but in the end id be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,i i am the one
Last Man Standing,Last Man Standing,the one who sold his soul
Last Man Standing,Last Man Standing,his soul forever gone to be the
Last Man Standing,Last Man Standing,last man standing
Last Man Standing,Last Man Standing,seeing clearer what ive done
Last Man Standing,Last Man Standing,id refuse to let things go
Last Man Standing,Last Man Standing,i could never once admit im wrong
Last Man Standing,Last Man Standing,and what do i have to show
Last Man Standing,Last Man Standing,seeing clearer whats at stake
Last Man Standing,Last Man Standing,and the things i have to change
Last Man Standing,Last Man Standing,i just hope i can its not too late
Last Man Standing,Last Man Standing,to get a chance to end this pain
Fury of the Wild,Fury of the Wild,sighs the fury has electrified my mind
Fury of the Wild,Fury of the Wild,sighs the hatred burns inside by the mark of vengeance i will grind
Fury of the Wild,Fury of the Wild,sighs the sound of metal falling to the ground
Fury of the Wild,Fury of the Wild,sighs by blood we will unite by blood we are forever bound
Fury of the Wild,Fury of the Wild,vengeance calling me
Fury of the Wild,Fury of the Wild,oh please set me free
Fury of the Wild,Fury of the Wild,the fury of the wild
Fury of the Wild,Fury of the Wild,locked up in this cage
Fury of the Wild,Fury of the Wild,cant you feel the rage
Fury of the Wild,Fury of the Wild,the fury of the wild
Fury of the Wild,Fury of the Wild,sighs your silence will not sanctify your crime
Fury of the Wild,Fury of the Wild,sighs when revolution calls i will be the first in line
Fury of the Wild,Fury of the Wild,vengeance calling me
Fury of the Wild,Fury of the Wild,oh please set me free
Fury of the Wild,Fury of the Wild,the fury of the wild
Fury of the Wild,Fury of the Wild,locked up in this cage
Fury of the Wild,Fury of the Wild,cant you feel the rage
Fury of the Wild,Fury of the Wild,the fury of the wild
Fury of the Wild,Fury of the Wild,now as you stand on your own
Fury of the Wild,Fury of the Wild,with the future face to face
Fury of the Wild,Fury of the Wild,take a look at me now
Fury of the Wild,Fury of the Wild,feel the fury taste my rage
Fury of the Wild,Fury of the Wild,come taste my revenge
Fury of the Wild,Fury of the Wild,unbent   unbowed   unbroken
Fury of the Wild,Fury of the Wild,vengeance calling me
Fury of the Wild,Fury of the Wild,oh please set me free
Fury of the Wild,Fury of the Wild,the fury of the wild
Fury of the Wild,Fury of the Wild,locked up in this cage
Fury of the Wild,Fury of the Wild,cant you feel the rage
Fury of the Wild,Fury of the Wild,the fury of the wild
Always Will Be,Always Will Be,our sun is set our day is done im left here wondering
Always Will Be,Always Will Be,is this the end my final words to you
Always Will Be,Always Will Be,day turned to night and now youre gone im left here pondering
Always Will Be,Always Will Be,can this be true are we really through
Always Will Be,Always Will Be,you were the wind beneath my wings taught me how to fly
Always Will Be,Always Will Be,with you i lived among the kings how could this ever die
Always Will Be,Always Will Be,so i say farewell im yours forever
Always Will Be,Always Will Be,and i always will be
Always Will Be,Always Will Be,we were one we were all we were the only
Always Will Be,Always Will Be,future full of hope nothing could stand in our way
Always Will Be,Always Will Be,but dreams can change visions fall i feel so lonely
Always Will Be,Always Will Be,i would walk through fire for just one more day
Always Will Be,Always Will Be,you were the angel of my life taught me to be free
Always Will Be,Always Will Be,now im a stranger in your eyes walls are closing in on me
Always Will Be,Always Will Be,so i say farewell im yours forever
Always Will Be,Always Will Be,and i always will be
Always Will Be,Always Will Be,missing you in my heart you are the one
Always Will Be,Always Will Be,and you always will be
Always Will Be,Always Will Be,when i turn to the east i see no dawn
Always Will Be,Always Will Be,but after darkness comes the light
Always Will Be,Always Will Be,and when i turn to the west the silent night hides all
Always Will Be,Always Will Be,where is the light that shines so bright
Always Will Be,Always Will Be,so i say farewell im yours forever
Always Will Be,Always Will Be,and i always will be
Always Will Be,Always Will Be,missing you in my heart you are the one
Always Will Be,Always Will Be,and you always will be
Always Will Be,Always Will Be,nah nah na and you always will be
Always Will Be,Always Will Be,nah nah na and you always will be
Always Will Be,Always Will Be,and you always will be
Always Will Be,Always Will Be,my little one you are
Always Will Be,Always Will Be,and you always will be
Steel Meets Steel,Steel Meets Steel,back in 1095 when the call to arms came
Steel Meets Steel,Steel Meets Steel,we had the red cross sown on
Steel Meets Steel,Steel Meets Steel,sent to save the holy land and crush the infidels
Steel Meets Steel,Steel Meets Steel,with strength from above
Steel Meets Steel,Steel Meets Steel,steel meets steel
Steel Meets Steel,Steel Meets Steel,on towards victory we march the guiding star
Steel Meets Steel,Steel Meets Steel,lead us to the battle field
Steel Meets Steel,Steel Meets Steel,there the heathens were subdued and in the end
Steel Meets Steel,Steel Meets Steel,we forced them all to yield or die
Steel Meets Steel,Steel Meets Steel,steel meets steel
Steel Meets Steel,Steel Meets Steel,in july in 99 the holy city was stormed and won
Steel Meets Steel,Steel Meets Steel,jerusalem was freed we thanked the lord for our glory
Steel Meets Steel,Steel Meets Steel,we the templars have survived by honor and pride
Steel Meets Steel,Steel Meets Steel,and the blessing of the sword
Steel Meets Steel,Steel Meets Steel,the quest of the war forever sung
Steel Meets Steel,Steel Meets Steel,to the sound of steel meets steel
Steel Meets Steel,Steel Meets Steel,steel meets steel
The Dragon Lies Bleeding,The Dragon Lies Bleeding,ride through the valley in thunder and rain
The Dragon Lies Bleeding,The Dragon Lies Bleeding,the battle is raging redeem this domain
The Dragon Lies Bleeding,The Dragon Lies Bleeding,the castle of eden lies silent above
The Dragon Lies Bleeding,The Dragon Lies Bleeding,darkness surrounded us away we must go
The Dragon Lies Bleeding,The Dragon Lies Bleeding,i look through the eyes of the world
The Dragon Lies Bleeding,The Dragon Lies Bleeding,i see theres a stranger among us
The Dragon Lies Bleeding,The Dragon Lies Bleeding,awaiting a sign from above
The Dragon Lies Bleeding,The Dragon Lies Bleeding,to conquer the power and the glory
The Dragon Lies Bleeding,The Dragon Lies Bleeding,enter the battle our will to enchain
The Dragon Lies Bleeding,The Dragon Lies Bleeding,bringing us forward defeating the pain
The Dragon Lies Bleeding,The Dragon Lies Bleeding,into the meeting with swords made of steel
The Dragon Lies Bleeding,The Dragon Lies Bleeding,were standing together the secret reveals
The Dragon Lies Bleeding,The Dragon Lies Bleeding,i look through the eyes of the world
The Dragon Lies Bleeding,The Dragon Lies Bleeding,i know whos the stranger among us
The Dragon Lies Bleeding,The Dragon Lies Bleeding,awaiting a sign from above
The Dragon Lies Bleeding,The Dragon Lies Bleeding,to conquer the power and glory
The Dragon Lies Bleeding,The Dragon Lies Bleeding,come across to the promised land
The Dragon Lies Bleeding,The Dragon Lies Bleeding,close your eyes i will take your hand
The Dragon Lies Bleeding,The Dragon Lies Bleeding,through the river of steel well go
The Dragon Lies Bleeding,The Dragon Lies Bleeding,when the dragon lies bleeding
The Dragon Lies Bleeding,The Dragon Lies Bleeding,above the glory well carry on
The Dragon Lies Bleeding,The Dragon Lies Bleeding,now the time has come to return back home
The Dragon Lies Bleeding,The Dragon Lies Bleeding,the setting sun illuminates the dead
The Dragon Lies Bleeding,The Dragon Lies Bleeding,the battlefield field is shining red
The Dragon Lies Bleeding,The Dragon Lies Bleeding,silent lies eden on top of the moor
The Dragon Lies Bleeding,The Dragon Lies Bleeding,were fighting with honor protecting our lord
The Dragon Lies Bleeding,The Dragon Lies Bleeding,the last one survivor lies bleeding i kneel
The Dragon Lies Bleeding,The Dragon Lies Bleeding,into his heart i settle the steel
The Dragon Lies Bleeding,The Dragon Lies Bleeding,i look through the eyes of the world
The Dragon Lies Bleeding,The Dragon Lies Bleeding,i see theres a stranger among us
The Dragon Lies Bleeding,The Dragon Lies Bleeding,awaiting a sign from above
The Dragon Lies Bleeding,The Dragon Lies Bleeding,to conquer the power and the glory
The Dragon Lies Bleeding,The Dragon Lies Bleeding,come across to the promised land
The Dragon Lies Bleeding,The Dragon Lies Bleeding,close your eyes i will take your hand
The Dragon Lies Bleeding,The Dragon Lies Bleeding,through the river of steel well go
The Dragon Lies Bleeding,The Dragon Lies Bleeding,when the dragon lies bleeding
Let the Hammer Fall,Let the Hammer Fall,its getting closer now
Let the Hammer Fall,Let the Hammer Fall,the clock strikes midnight time
Let the Hammer Fall,Let the Hammer Fall,it is the tolling of the judgment bell
Let the Hammer Fall,Let the Hammer Fall,you fear the dead of night
Let the Hammer Fall,Let the Hammer Fall,there aint no place to hide
Let the Hammer Fall,Let the Hammer Fall,this is your point of no return
Let the Hammer Fall,Let the Hammer Fall,now we are ready to strike again
Let the Hammer Fall,Let the Hammer Fall,its getting far too late my friend
Let the Hammer Fall,Let the Hammer Fall,let the hammer fall
Let the Hammer Fall,Let the Hammer Fall,we are above the law
Let the Hammer Fall,Let the Hammer Fall,let our power show
Let the Hammer Fall,Let the Hammer Fall,that were in full control of your destiny
Let the Hammer Fall,Let the Hammer Fall,now we are ready to strike again
Let the Hammer Fall,Let the Hammer Fall,its getting far too late my friend
Let the Hammer Fall,Let the Hammer Fall,let the hammer fall
Let the Hammer Fall,Let the Hammer Fall,were getting closer now
Let the Hammer Fall,Let the Hammer Fall,the chill of distant eyes
Let the Hammer Fall,Let the Hammer Fall,youre on a dead end street into the night
Let the Hammer Fall,Let the Hammer Fall,now we are ready to strike again
Let the Hammer Fall,Let the Hammer Fall,its getting far too late my friend
Let the Hammer Fall,Let the Hammer Fall,let the hammer fall
Let the Hammer Fall,Let the Hammer Fall,let the hammer
Let the Hammer Fall,Let the Hammer Fall,fall
Let the Hammer Fall,Let the Hammer Fall,let the hammer fall
The Templar Flame,The Templar Flame,so where were you when darkness came to life
The Templar Flame,The Templar Flame,inside a dream that controlled your inner plight
The Templar Flame,The Templar Flame,take a look at me youve ruined what we had
The Templar Flame,The Templar Flame,inner visions infrared it drives me mad
The Templar Flame,The Templar Flame,out of control
The Templar Flame,The Templar Flame,the system mounted on the wall
The Templar Flame,The Templar Flame,for every soul theres no way out
The Templar Flame,The Templar Flame,in this world where nothing lives
The Templar Flame,The Templar Flame,the walls are caving in lifes a sin
The Templar Flame,The Templar Flame,in this world we have to give
The Templar Flame,The Templar Flame,before we all can see the templar flame
The Templar Flame,The Templar Flame,do you believe surveillance is the cure
The Templar Flame,The Templar Flame,the remedy for our insanity
The Templar Flame,The Templar Flame,take a look around and tell me what you see
The Templar Flame,The Templar Flame,souls walking painlessly like you and me
The Templar Flame,The Templar Flame,in infrared
The Templar Flame,The Templar Flame,controlling what is left to see
The Templar Flame,The Templar Flame,awake the dead theres no way out
The Templar Flame,The Templar Flame,in this world where nothing lives
The Templar Flame,The Templar Flame,the walls are caving in lifes a sin
The Templar Flame,The Templar Flame,in this world we have to give
The Templar Flame,The Templar Flame,before we all can see the templar flame
The Templar Flame,The Templar Flame,you see the words speak
The Templar Flame,The Templar Flame,in infrared speak
The Templar Flame,The Templar Flame,you see the words
The Templar Flame,The Templar Flame,damn the machine speak
The Templar Flame,The Templar Flame,speak of the flame the templar flame
The Templar Flame,The Templar Flame,oh oh oh
Glory To the Brave,Glory To the Brave,snow is falling down on this glorious land
Glory To the Brave,Glory To the Brave,colors fading turning into white again
Glory To the Brave,Glory To the Brave,to fallen heroes angels sting they cry their winter tears
Glory To the Brave,Glory To the Brave,endless mourning days will turn to years
Glory To the Brave,Glory To the Brave,so this is goodbye i take leave of you and
Glory To the Brave,Glory To the Brave,spread your wings and you will fly away now fly away now
Glory To the Brave,Glory To the Brave,nothing on earth stays forever
Glory To the Brave,Glory To the Brave,but none of your deeds were in vain
Glory To the Brave,Glory To the Brave,deep in our hearts you will live again
Glory To the Brave,Glory To the Brave,youre gone to the home of the brave
Glory To the Brave,Glory To the Brave,every solemn moment i will treasure inside
Glory To the Brave,Glory To the Brave,even though its hard to understand
Glory To the Brave,Glory To the Brave,that a silent wind can blow that candle out
Glory To the Brave,Glory To the Brave,taking everything leaving the pain far behind
Glory To the Brave,Glory To the Brave,you call out my name but your voice is fading
Glory To the Brave,Glory To the Brave,into the wind embraced youll fly away now fly away now
Glory To the Brave,Glory To the Brave,nothing on earth stays forever
Glory To the Brave,Glory To the Brave,but none of your deeds were in vain
Glory To the Brave,Glory To the Brave,deep in our hearts you will live again
Glory To the Brave,Glory To the Brave,youre gone to the home of the brave
Glory To the Brave,Glory To the Brave,my eyes are closed i feel youre faraway so close
Glory To the Brave,Glory To the Brave,far beyond that shining star
Glory To the Brave,Glory To the Brave,i know youll find what youve been fighting for
Glory To the Brave,Glory To the Brave,far beyond that shining star
Glory To the Brave,Glory To the Brave,down on bended knee i pray bring courage to these souls
Glory To the Brave,Glory To the Brave,make em live forever in the heart of the bold
Glory To the Brave,Glory To the Brave,so i say farewell my friends i hope well meet again
Glory To the Brave,Glory To the Brave,when my time has come to fall from the grace
Glory To the Brave,Glory To the Brave,so this is goodbye i take leave of you and
Glory To the Brave,Glory To the Brave,spread your wings and you will fly away now fly away now
